校系代碼,系名
018392,企業管理學系(事業經營與創業管理組)
018402,企業管理學系(事業經營與創業管理組)-繁星類
018412,國際企業學系
018422,國際企業學系-繁星類
018432,會計學系
018442,會計學系-繁星類
018452,觀光事業學系
018462,觀光事業學系-繁星類
018472,財務金融學系
018482,財務金融學系-繁星類
018492,資訊管理學系(應用軟體開發組)
018502,資訊管理學系(行動與雲端商務組)
018512,資訊管理學系(商業智慧組)
018522,資訊管理學系-繁星類
018532,資訊工程學系(智慧電子與數位系統設計組)
018542,資訊工程學系(智慧電子與數位系統設計組)-繁星類
018552,資訊工程學系(網路技術與雲端運算組)
018562,資訊工程學系(網路技術與雲端運算組)-繁星類
018572,資訊傳播工程學系(遊戲設計組)
018582,資訊傳播工程學系(互動藝術組)
018592,資訊傳播工程學系-繁星類
018602,寰宇管理學士學位學程
018612,寰宇外語教育學士學位學程
018622,寰宇外語教育學士學位學程-繁星類
021012,商船學系
021022,航運管理學系
021032,運輸科學系A組
021042,運輸科學系B組
021052,輪機工程學系能源應用組
021062,輪機工程學系動力工程組
021072,食品科學系食品科學組
021082,食品科學系生物科技組
021092,水產養殖學系
021102,生命科學暨生物科技學系
021112,環境生物與漁業科學學系
021122,海洋環境資訊系
021132,機械與機電工程學系
021142,系統工程暨造船學系
021152,河海工程學系
021162,電機工程學系
021172,資訊工程學系
021182,通訊與導航工程學系
021192,海洋觀光管理學士學位學程
021202,海洋法政學士學位學程
021212,光電與材料科技學士學位學程
021222,海洋文創設計產業學士學位學程
025012,醫學系A組
025022,醫學系B組
025032,牙醫學系
025042,醫學生物技術暨檢驗學系
025052,生物醫學影像暨放射科學系
025062,護理學系
025072,護理學系(公費生)
025082,物理治療暨輔助科技學系
025092,生命科學系暨基因體科學研究所
025102,生物醫學工程學系
025112,藥學系
025122,學士班大一大二不分系
025132,不分系招生(璞玉A組)
025142,不分系招生(璞玉B組)
025152,醫學系(公費生)
025162,醫學系(繁星第八類)
028012,新媒體藝術學系
