校系代碼,系名
027192,海洋科學系
027202,政治經濟學系
027212,社會學系
027222,音樂學系
027232,音樂學系創作與應用組
031012,教育學系
031022,語文教育學系
031032,區域與社會發展學系
031042,數學教育學系
031052,科學教育與應用學系
031062,特殊教育學系
031072,臺灣語文學系
031082,英語學系
031092,資訊工程學系
031102,國際企業學系
031112,文化創意產業設計與營運學系
031122,諮商與應用心理學系
031132,數位內容科技學系
031142,幼兒教育學系
031152,音樂學系
031162,美術學系
031172,體育學系
034012,應用數學系數學科學組
034022,應用數學系統計組
034032,物理學系物理組
034042,物理學系奈米與光電科學組
034052,化學系
034062,生命科學系
034072,資訊工程學系學士班資工組
034082,資訊工程學系學士班國際組
034092,電機工程學系
034102,材料科學與工程學系
034112,光電工程學系
034122,企業管理學系
034132,會計學系
034142,資訊管理學系
034152,國際企業學系
034162,財務金融學系
034172,觀光暨休閒遊憩學系
034182,管理學院管理科學與財金國際學士學位學程
034192,華文文學系
034202,中國語文學系
034212,英美語文學系
034222,臺灣文化學系
034232,歷史學系
034242,經濟學系
034252,諮商與臨床心理學系
034262,社會學系
034272,公共行政學系
034282,法律學士學位學程
034292,課程設計與潛能開發學系
034302,教育行政與管理學系
034312,特殊教育學系
034322,幼兒教育學系
034332,族群關係與文化學系
034342,民族語言與傳播學系
034352,民族事務與發展學系
034362,民族社會工作學士學位學程
034372,自然資源與環境學系
034382,音樂學系
034392,藝術與設計學系
034402,藝術創意產業學系
034412,體育與運動科學系
037012,教育與學習科技學系
037022,幼兒教育學系
037032,教育心理與諮商學系
037042,特殊教育學系
037052,環境與文化資源學系
037062,中國語文學系
037072,應用數學系
037082,應用科學系奈米科學組
037092,應用科學系生命科學組
037102,教育與學習科技學系(公費生)
037112,中國語文學系(公費生)
037122,應用數學系(公費生)
037132,教育心理與諮商學系(公費生)
037142,音樂學系
037152,音樂學系(公費生)
037162,藝術與設計學系創作組
037172,藝術與設計學系設計組
037182,藝術與設計學系創作組(公費生)
040012,機械工程學系
040022,化學工程與材料科學學系
040032,工業工程與管理學系
040042,電機工程學系
040052,通訊工程學系
040062,光電工程學系
040072,資訊工程學系
040082,資訊管理學系
040092,資訊傳播學系科技組
040102,管理學院學士班(主修：企業管理)
040112,管理學院學士班(主修：財務金融)
040122,管理學院學士班(主修：國際企業)
040132,管理學院學士班(主修：會計)
040142,管理學院學士班(英語專班)
040152,應用外語學系
040162,中國語文學系
040172,社會暨政策科學學系
040182,資訊傳播學系設計組
040192,藝術與設計學系
043012,電機工程學系
043022,機械工程學系
043032,通訊工程學系
043042,電子工程學系
043052,光機電與材料學士學位學程
043062,工業管理學系
043072,企業管理學系企管組
043082,企業管理學系行銷組
043092,財務管理學系
043102,國際企業學系
043112,運輸科技與物流管理學系
043122,科技管理學系
043132,建築與都市計畫學系建築設計組
043142,建築與都市計畫學系環境規劃與管理組
043152,建築與都市計畫學系建築科技組
043162,景觀建築學系
043172,營建管理學系
043182,土木工程學系
043192,工業產品設計學系工業設計組
043202,工業產品設計學系創意生活設計組
043212,外國語文學系
043222,應用日語學系
043232,行政管理學系
043242,資訊工程學系資訊工程組
043252,資訊工程學系軟體工程及設計組
043262,生物資訊學系
043272,資訊管理學系資訊系統設計組
043282,資訊管理學系資訊管理組
043292,餐旅管理學系
043302,休閒遊憩規劃與管理學系
043312,觀光與會展學系
046012,企業管理學系(台北校區)
046022,會計學系(台北校區)
046032,財務金融學系(台北校區)
046042,風險管理與保險學系(台北校區)
046052,國際企業學系(台北校區)
046062,傳播管理學系(台北校區)
046072,廣播電視學系(台北校區)
046082,廣告學系(台北校區)
046092,新聞學系(台北校區)
046102,法律學系(台北校區)
046112,財金法律學系(台北校區)
046122,應用統計資訊學系(桃園校區)
046132,經濟學系(桃園校區)
046142,應用中國文學系(桃園校區)
046152,應用英語學系(桃園校區)
046162,應用日語學系(桃園校區)
046172,華語文教學學系(桃園校區)
046182,商業設計學系(桃園校區)
046192,商品設計學系(桃園校區)
046202,數位媒體設計學系(桃園校區)
046212,建築學系(桃園校區)
046222,都市規劃與防災學系(桃園校區)
046232,觀光學院(桃園校區)
046242,社會與安全管理學系(桃園校區)
046252,公共事務學系(桃園校區)
046262,諮商與工商心理學系(桃園校區)
046272,資訊管理學系(桃園校區)
046282,資訊傳播工程學系(桃園校區)
046292,資訊工程學系(桃園校區)
046302,電子工程學系(桃園校區)
046312,電腦與通訊工程學系(桃園校區)
046322,醫療資訊與管理學系(桃園校區)
046332,生物科技學系(桃園校區)
046342,生物醫學工程學系(桃園校區)
051012,企業管理學系
051022,國際企業學系
051032,會計資訊學系
051042,航運管理學系
051052,土地管理與開發學系
051062,財務金融學系
051072,科技管理學位學程
051082,休閒產業管理學士學位學程
051092,休閒產業管理學士學位學程餐飲管理組
051102,醫務管理學系
051112,職業安全與衛生學系
051122,護理學系
051132,生物科技學系
051142,健康心理學系
051152,保健營養學系
051162,健康產業發展學士學位學程
051172,大眾傳播學系
051182,翻譯學系
051192,社會工作學系
051202,應用日語學系
051212,哲學與宗教學系
051222,資訊管理學系
051232,科技工程與管理學系
051242,資訊工程學系
051252,數位內容創作學士學位學程
051262,媒體設計科技學系
051272,美術學系
051282,書畫藝術學系
051292,運動競技學系
059012,企業管理學系
059022,旅遊管理學系
059032,文化創意事業管理學系(文創行銷組)
059042,文化創意事業管理學系(休閒產業組)
059052,財務金融學系
059062,文學系
059072,生死學系(社會工作組)
059082,生死學系(殯葬服務組)
059092,外國語文學系
059102,幼兒教育學系
059112,傳播學系
059122,國際事務與企業學系
059132,應用社會學系
059142,資訊管理學系(網路應用與健康服務組)
059152,資訊管理學系(資訊管理組)
059162,資訊工程學系(社會組)
059172,資訊工程學系(自然組)
059182,自然生物科技學系
059192,創意產品設計學系
059202,建築與景觀學系(自然組)
059212,建築與景觀學系(社會組)
059222,視覺與媒體藝術學系(乙組)
059232,民族音樂學系
059242,視覺與媒體藝術學系(甲組)
065012,宗教學系
065022,應用外語學系日語組
065032,應用外語學系英語組
065042,法律學系
065052,社會福利與社會工作學系
065062,應用心理學系
065072,大眾傳播學系
065082,大眾傳播學系-特色組
065092,廣播與電視新聞學系數位內容製播組
065102,廣播與電視新聞學系數位內容製播組-特色組
065112,廣播與電視新聞學系圖書資訊管理組
065122,廣播與電視新聞學系圖書資訊管理組-特色組
065132,影劇藝術學系
065142,影劇藝術學系-特色組
065152,時尚設計學系
065162,時尚設計學系-特色組
065172,視覺傳達設計學系廣告設計組
065182,視覺傳達設計學系廣告設計組-特色組
065192,視覺傳達設計學系數位媒體組
065202,視覺傳達設計學系數位媒體組-特色組
065212,藝術與創意設計學系
065222,藝術與創意設計學系-特色組
065232,企業管理學系財富管理組
065242,企業管理學系經營管理組
065252,企業管理學系觀光行銷組
065262,資訊管理學系
065272,資訊管理學系-特色組
065282,餐旅管理學系旅館管理組
065292,餐旅管理學系旅館管理組-特色組
065302,餐旅管理學系餐飲管理組
065312,餐旅管理學系餐飲管理組-特色組
100012,教育學系
100022,幼兒教育學系
100032,特殊教育學系
100042,輔導與諮商學系
100052,數位學習設計與管理學系
100062,中國文學系
100072,外國語言學系英語教學組
100082,外國語言學系應用外語組
100092,應用歷史學系
100102,企業管理學系
100112,應用經濟學系
100122,生物事業管理學系
100132,資訊管理學系
100142,財務金融學系
100152,行銷與運籌學系
100162,農藝學系
100172,園藝學系
100182,森林暨自然資源學系
100192,木質材料與設計學系
100202,動物科學系
100212,獸醫學系
100222,生物農業科技學系
100232,景觀學系
100242,植物醫學系
100252,應用數學系
100262,電子物理學系
100272,應用化學系
100282,資訊工程學系
100292,生物機電工程學系
100302,土木與水資源工程學系
100312,電機工程學系
100322,機械與能源工程學系
100332,食品科學系
100342,生化科技學系
100352,生物資源學系
100362,水生生物科學系
100372,微生物免疫與生物藥學系
100382,特殊教育學系(公費生)
100392,教育學系(公費生)
100402,輔導與諮商學系(公費生)
100412,音樂學系
100422,視覺藝術學系
100432,體育與健康休閒學系
109012,醫學系
109022,牙醫學系
109032,藥學系藥學組
109042,藥學系臨床藥學組
109052,醫學檢驗暨生物技術學系
109062,護理學系
109072,保健營養學系
109082,公共衛生學系
109092,醫務管理學系
109102,呼吸治療學系
109112,高齡健康管理學系
109122,牙體技術學系
109132,口腔衛生學系
112012,時尚造型設計學系
112022,保健美容學系
112032,數位應用學系
112042,資訊傳播學系
112052,健康照護管理學系
112062,餐飲管理學系
112072,休閒管理學系
112082,企業管理學系
112092,應用外語學系應用英語組
112102,應用外語學系應用日語組
133012,企業管理學系
133022,餐旅管理學系
133032,休閒保健學系
133042,行銷與物流學系
133052,財務金融學系
133062,精緻農業學系
133072,資訊傳播學系
133082,材料與能源工程學系
133092,景觀與環境設計學系
133102,數位設計學系
133112,時尚造形學系
133122,中國文學學系
133132,應用英語學系
133142,應用日語學系
151012,機械工程學系
151022,化學工程學系
151032,土木與防災工程學系
151042,建築學系
151052,材料科學工程學系
151062,工業設計學系
151072,環境與安全衛生工程學系
151082,能源工程學系
151092,電機工程學系
151102,電子工程學系
151112,光電工程學系
151122,資訊工程學系
151132,經營管理學系
151142,財務金融學系
151152,資訊管理學系
151162,臺灣語文與傳播學系
151172,華語文學系
151182,文化觀光產業學系
002012,教育學系
002022,教育心理與輔導學系
002032,社會教育學系
002042,健康促進與衛生教育學系
002052,人類發展與家庭學系家庭生活教育組
002062,人類發展與家庭學系幼兒發展與教育組
002072,人類發展與家庭學系營養科學與教育組
002082,公民教育與活動領導學系
002092,特殊教育學系
002102,特殊教育學系乙組(公費生)
002112,國文學系
002122,英語學系
002132,英語學系(公費生)
002142,歷史學系
002152,地理學系
002162,臺灣語文學系
002172,數學系
002182,數學系(公費生)
002192,物理學系
002202,物理學系(公費生)
002212,化學系
002222,生命科學系
002232,地球科學系
002242,資訊工程學系
002252,科技應用與人力資源發展學系
002262,圖文傳播學系
002272,機電工程學系
002282,電機工程學系
002292,應用華語文學系
002302,東亞學系漢學與文化組
002312,東亞學系政治與經濟組
002322,企業管理學士學位學程
002332,設計學系B組
002342,音樂學系
002352,設計學系A組
002362,美術學系西畫組
002372,美術學系國畫組
002382,特殊教育學系甲組(公費生)
002392,體育學系
005012,中國文學系
005022,歷史學系
005032,哲學系
005042,政治學系
005052,社會學系
005062,社會工作學系
005072,英文學系
005082,日本語文學系
005092,數學系
005102,物理學系
005112,化學系
005122,微生物學系應用微生物組
005132,微生物學系生物科技組
005142,心理學系
005152,法律學系
005162,經濟學系
005172,會計學系
005182,企業管理學系
005192,國際經營與貿易學系
005202,財務工程與精算數學系
005212,資訊管理學系
005222,音樂學系
008012,應用數學系
008022,物理學系物理組
008032,物理學系光電與材料科學組
008042,化學系化學組
008052,化學系材料化學組
008062,心理學系
008072,生物科技學系
008082,化學工程學系
008092,土木工程學系
008102,機械工程學系
008112,生物醫學工程學系
008122,生物環境工程學系
008132,電機資訊學院學士班
008142,工業與系統工程學系
008152,電子工程學系
008162,資訊工程學系
008172,電機工程學系
008182,企業管理學系
008192,國際經營與貿易學系
008202,會計學系
008212,資訊管理學系
008222,財務金融學系
008232,財經法律學系
008242,建築學系
008252,室內設計學系
008262,商業設計學系
008272,景觀學系
008282,特殊教育學系
008292,應用外國語文學系
008302,應用華語文學系
012012,牙醫學系
012022,醫學系
012032,中醫學系甲組
012042,中醫學系乙組
012052,藥學系
012062,公共衛生學系
012072,護理學系
012082,醫學檢驗生物技術學系
012092,營養學系
012102,物理治療學系
012112,生物科技學系
012122,運動醫學系
012132,中國藥學暨中藥資源學系
012142,醫務管理學系
012152,職業安全與衛生學系
012162,藥用化妝品學系
012172,健康風險管理學系
012182,生物醫學影像暨放射科學學系
012192,口腔衛生學系
015012,機械與電腦輔助工程學系
015022,纖維與複合材料學系
015032,工業工程與系統管理學系
015042,化學工程學系
015052,航太與系統工程學系
015062,精密系統設計學士學位學程
015072,會計學系
015082,國際貿易學系
015092,財稅學系
015102,合作經濟學系
015112,統計學系
015122,經濟學系
015132,企業管理學系
015142,國際企業管理學士學位學程(英語專班)
015152,行銷學系
015162,應用數學系
015172,材料科學與工程學系
015182,環境工程與科學學系
015192,光電學系
015202,中國文學系
015212,外國語文學系
015222,資訊工程學系
015232,電子工程學系
015242,電機工程學系
015252,自動控制工程學系
015262,資訊電機學院不分系榮譽班
015272,通訊工程學系
015282,土木工程學系
015292,水利工程與資源保育學系
015302,建築學系
015312,都市計畫與空間資訊學系都市計畫組
015322,都市計畫與空間資訊學系空間資訊組
015332,運輸科技與管理學系
015342,土地管理學系
015352,財務金融學系
015362,風險管理與保險學系
015372,財務工程與精算學士學位學程
018012,英國語文學系
018022,英國語文學系-類繁星
018032,西班牙語文學系
018042,西班牙語文學系-類繁星
018052,日本語文學系
018062,日本語文學系-類繁星
018072,中國文學系
018082,中國文學系-類繁星
018092,社會工作與兒童少年福利學系
018102,社會工作與兒童少年福利學系-類繁星
018112,台灣文學系
018122,台灣文學系-類繁星
018132,法律學系
018142,法律學系-類繁星
018152,生態人文學系
018162,生態人文學系-類繁星
018172,大眾傳播學系
018182,大眾傳播學系-類繁星
018192,財務與計算數學系計算數學組
018202,財務與計算數學系計算數學組-類繁星
018212,財務與計算數學系財務工程組
018222,財務與計算數學系財務工程組-類繁星
018232,應用化學系
018242,應用化學系-類繁星
018252,食品營養學系營養與保健組
018262,食品營養學系營養與保健組-類繁星
018272,食品營養學系食品與生物技術組
018282,食品營養學系食品與生物技術組-類繁星
018292,化粧品科學系
018302,化粧品科學系-類繁星
018312,統計資訊學系
018322,統計資訊學系-類繁星
018332,企業管理學系
018342,企業管理學系-類繁星
018352,國際企業學系
018362,國際企業學系-類繁星
018372,會計學系
018382,會計學系-類繁星
018392,觀光事業學系
018402,觀光事業學系-類繁星
018412,財務金融學系
018422,財務金融學系-類繁星
018432,寰宇管理學士學位學程
018442,資訊管理學系
018452,資訊管理學系-類繁星
018462,資訊工程學系
018472,資訊工程學系-類繁星
018482,資訊傳播工程學系
018492,資訊傳播工程學系-類繁星
021012,商船學系
021022,航運管理學系
021032,輪機工程學系能源應用組
021042,輪機工程學系動力工程組
021052,運輸科學系A組
021062,運輸科學系B組
021072,食品科學系食品科學組
021082,食品科學系生物科技組
021092,水產養殖學系
021102,生命科學暨生物科技學系
021112,系統工程暨造船學系
021122,河海工程學系
021132,機械與機電工程學系
021142,海洋環境資訊系
021152,環境生物與漁業科學學系
021162,電機工程學系
021172,資訊工程學系
021182,通訊與導航工程學系
021192,海洋觀光管理學士學位學程
025012,醫學系
025022,醫學生物技術暨檢驗學系
025032,生物醫學影像暨放射科學系
025042,物理治療暨輔助科技學系
025052,生命科學系暨基因體科學研究所
025062,牙醫學系
025072,護理學系
025082,生物醫學工程學系
028012,舞蹈學系
028022,新媒體藝術學系
032012,教育學系
032022,教育經營與管理學系
032032,幼兒與家庭教育學系
032042,特殊教育學系
032052,心理與諮商學系
032062,社會與區域發展學系
032072,兒童英語教育學系
032082,語文與創作學系語文師資組
032092,語文與創作學系文學創作組
032102,文化創意產業經營學系
032112,藝術與造形設計學系設計組
032122,自然科學教育學系
032132,資訊科學系
032142,數位科技設計學系
032152,數學暨資訊教育學系數學組
032162,數學暨資訊教育學系資訊組
032172,幼兒與家庭教育學系甲組(公費生)
032182,幼兒與家庭教育學系乙組(公費生)
032192,幼兒與家庭教育學系丙組(公費生)
032202,兒童英語教育學系(公費生)
032212,音樂學系
032222,藝術與造形設計學系藝術組
032232,體育學系
035012,教育學系
035022,特殊教育學系
035032,幼兒教育學系
035042,幼兒教育學系(公費生)
035052,心理與諮商學系
035062,學習與媒材設計學系
035072,中國語文學系
035082,英語教學系
035092,英語教學系(公費生)
035102,社會暨公共事務學系
035112,歷史與地理學系
035122,地球環境暨生物資源學系
035132,應用物理暨化學系
035142,數學系
035152,資訊科學系
035162,音樂學系
035172,視覺藝術學系
035182,視覺藝術學系(公費生)
035192,體育學系
035202,休閒運動管理學系
035212,運動健康科學系
038012,教育學系
038022,教育學系(公費生)
038032,文化資源與休閒產業學系
038042,幼兒教育學系(師資生)
038052,幼兒教育學系(非師資生)
038062,特殊教育學系
038072,特殊教育學系甲組(公費生)
038082,特殊教育學系乙組(公費生)
038092,數位媒體與文教產業學系
038102,英美語文學系
038112,華語文學系
038122,身心整合與運動休閒產業學系
038132,公共與文化事務學系
038142,數學系
038152,資訊管理學系
038162,生命科學系
038172,應用科學系化學及奈米科學組
038182,應用科學系應用物理組
038192,資訊工程學系
038202,音樂學系(一般生)
038212,音樂學系(原住民生)
038222,美術產業學系
038232,體育學系
038242,體育學系(公費生)
041012,中國文學系
041022,外國語文學系
041032,歷史學系
041042,哲學系
041052,數學系
041062,地球與環境科學系
041072,物理學系
041082,化學暨生物化學系
041092,生命科學系
041102,社會福利學系
041112,心理學系
041122,勞工關係學系
041132,政治學系
041142,傳播學系
041152,資訊工程學系
041162,電機工程學系
041172,機械工程學系
041182,化學工程學系
041192,通訊工程學系
041202,經濟學系
041212,財務金融學系
041222,企業管理學系
041232,會計與資訊科技學系
041242,資訊管理學系
041252,法律學系法學組
041262,法律學系法制組
041272,財經法律學系
041282,成人及繼續教育學系
041292,犯罪防治學系
041302,運動競技學系
044012,工業工程與經營資訊學系
044022,機電工程學系
044032,電子工程學系
044042,資訊管理學系
044052,中國文學系
044062,外國語文學系
044072,哲學系
044082,建築學系
044092,工業設計學系產品設計組
044102,工業設計學系交通工具設計組
044112,環境與防災設計學系環境防災組
044122,環境與防災設計學系環境設計組
044132,美術與文創學系文創設計組
044142,美術與文創學系美術創作組
047012,新聞學系
047022,廣播電視電影學系廣播組
047032,廣播電視電影學系電視組
047042,廣播電視電影學系電影組
047052,圖文傳播暨數位出版學系
047062,公共關係暨廣告學系
047072,口語傳播學系
047082,資訊傳播學系
047092,數位多媒體設計學系動畫設計組
047102,數位多媒體設計學系遊戲設計組
047112,傳播管理學系
047122,資訊管理學系資訊管理組
047132,資訊管理學系資訊科技組
047142,資訊管理學系網路科技組
047152,財務金融學系
047162,行政管理學系
047172,觀光學系餐旅經營管理組
047182,觀光學系旅遊暨休閒事業管理組
047192,觀光學系觀光規劃暨資源管理組
047202,經濟學系
047212,企業管理學系
047222,社會心理學系
047232,英語學系
047242,中國文學系
047252,日本語文學系
047262,法律學系
056012,圖文傳播藝術學系
056022,廣播電視學系
056032,電影學系
056042,戲劇學系
056052,音樂學系作曲組
056062,音樂學系鍵盤組
056072,音樂學系聲樂組
056082,音樂學系弦樂組
056092,音樂學系撥弦組
056102,音樂學系管樂組
056112,音樂學系擊樂組
056122,中國音樂學系作曲組
056132,中國音樂學系聲樂組
056142,中國音樂學系管樂組
056152,中國音樂學系彈弦組
056162,中國音樂學系撥弦組
056172,中國音樂學系擦弦組
056182,中國音樂學系擊樂組
056192,美術學系
056202,書畫藝術學系
056212,雕塑學系
056222,古蹟藝術修護學系
056232,視覺傳達設計學系
056242,工藝設計學系
056252,多媒體動畫藝術學系
056262,舞蹈學系
060012,體育學系
060022,運動管理學系
060032,運動健康科學學系
060042,運動資訊與傳播學系
060052,休閒運動學系
060062,技擊運動學系
079012,人文與資訊學系(台北校區)
079022,宗教文化與組織管理學系(台北校區)
079032,英美語文學系(台北校區)
079042,應用日語學系(台北校區)
079052,台灣文學系(台北校區)
079062,應用數學系(台北校區)
079072,統計與精算學系(台北校區)
079082,資訊工程學系(台北校區)
079092,法律學系(台北校區)
